id,text,label,Comments
1,Premier League valgte å offentliggjøre tre flyttede kamper på nyttårsaften. Har du panikk? Da bør du lese dette.,Clickbait,
2,De tre kampene som har fått ny dato er disse tre:,Non-informative,
3,Dette synes ekspertene var de største overraskelsene og de største skuffelsene i Eliteserien 2021. De deler også sine tanker om de viktigste spillerne og om nivået på dommerne i sesongen som var.,Non-informative,
4,Spanske medier tapetserer flatene med rykter rundt Erling Braut Haaland. Viaplays Bundesliga-ekspert sier Dortmund har satt en deadline.,Rumor,
5,– Dortmund har sagt at de ønsker å få avklart dette innen februar og at de ønsker å forhandle en ny kontrakt – med veldig mye penger for at han skal bli.,Quote,
6,"Romelu Lukaku har uttalt at han er misfornøyd med sin egen situasjon i Chelsea, og går langt i å kritisere Thomas Tuchel. Nå svarer manageren med samme mynt.",Statement,
7,"– La oss være ærlige. Jeg liker det ikke, for det skaper støy som vi ikke trenger.",Quote,
8,"(Manchester United – Burnley 3–1) Ralf Rangnick (63) kalte uavgjort mot Newcastle for «en negativ overraskelse». Torsdag kveld hadde rødtrøyene igjen grunn til å smile, selv om ikke alle lar seg imponere.",Statement,
9,Manchester Uniteds tyske manager gjorde hele seks endringer og fikk godt betalt for det grepet.,Substitution,
10,"Romelu Lukaku (28) ble tidenes dyreste Chelsea-spiller da han returnerte til London i sommer, men siden den gang har det ikke gått på skinner for belgieren.",Information,
11,"– Fysisk har jeg det bra, men jeg er ikke fornøyd med situasjonen i Chelsea, sier Romelu Lukaku i et intervju med italienske Sky Sports.",Quote,
12,Manchester United har fått mye kritikk etter å karet seg til 1–1 mot tabelljumbo Newcastle. Og sjefen innrømmer at det ikke var bra nok.,Information,
13,Her er torsdagens oddstips!,Non-informative,
14,"– Selvsagt ikke. Alle ambisiøse trenere, og det er ingen forskjell på andre trenere og meg selv når det gjelder det, ønsker å ta raskere og større steg i riktig retning, sier Manchester United-manager Ralf Rangnick på pressekonferansen før møtet med Burnley.",Quote,
15,Det er en måned siden tyskeren ble offentliggjort som Manchester Uniteds manager ut sesongen etter at Ole Gunnar Solskjær fikk sparken tidligere i år.,Information,
16,"Han ledet United til 1–0-seirer mot Crystal Palace og Norwich, men mot Newcastle endte det 1–1 etter en skuffende prestasjon.",Summary,
17,"– For å bli bedre er man nødt til å trene, og som dere vet måtte vi stenge Carrington i fire dager. Før det hadde vi åtte-ni utespillere på trening, sier Rangnick.",Quote,
18,"– De tre siste dagene var vi nesten tilbake til full styrke når det gjelder størrelsen på troppen, men vi kunne ikke gjøre så mye på trening. På den annen side så laget bra ut på de to-tre treningsøktene. Derfor var måten vi spilte på en negativ overraskelse, sier Rangnick.",Quote,
19,Manchester United-manageren nevner blant annet tempo og fysikk når han skal sette fingeren på hva han ikke var fornøyd.,Statement,
20,"Midtstopperen Raphaël Varane var tilbake fra skade, men rotet vekk ballen slik at Allan Saint-Maximin sendte Newcastle i føringen før syv minutter var spilt.",Goal,
21,"– Raphaël har ikke spilt på fem-seks uker, og selv før Tottenham-kampen (hvor han ble skadet) var han skadet, så han har ikke spilt så mange kamper de siste tre månedene. Ja, han gjorde en feil før det første målet, men bortsett fra det var han ok. Jeg ville ikke si at han var fremragende, men han gjorde det greit, sier Rangnick til franskmannens forsvar.",Quote,
24,"Chelsea-manager Thomas Tuchel er klar på at han ikke har noe problem med den tette terminlisten i romjulen, men forstår ikke at det fremdeles er maksimalt tre bytter i Premier League-kampene. ",Statement,
25,Her er onsdagens oddstips!,Non-informative,
26,"I en kort periode i fjor da Premier League startet opp igjen etter at coronaviruset først brøt ut, var det tillatt med fem bytter i Premier League. Men både forrige sesong og denne sesongen har det vært maksimalt tre bytter – det til tross for at det er fem bytter i de europeiske klubbturneringene som Champions League og i de andre største ligaene i Europa. ",Information,
27,"Managerne til de største engelske klubbene har gjentatte ganger tatt til orde for en regelendring – en regelendring som også fotballens internasjonale lovkomité (IFAB) gikk inn for i oktober. Tirsdag ble det satt nye smitterekord i England med 117 093 nye coronatilfeller, og det er noe Chelsea-manager Thomas Tuchel sier han ikke kan forstå. ",Information,
28,"– Det gir absolutt ingen mening. Terminlisten er ikke problemet, vi elsker den. Fem bytter ble tillatt i England da coronaen først kom. Nå som vi er midt oppe i det, får jeg følelsen at alle nekter å snakke om det og nekter å tenke på det, sier Tuchel på en pressekonferanse ifølge The Guardian. ",Quote,
