,text,label
0,Vålerenga - Rosenborg 2-3,Ignore
1,"Sam Johnson ga vertene ledelsen, men Jonathan Levi og et selvmål av Enar Jääger snudde kampen, før tidligere Brann-spiller Amin Nouri ordnet 2-2 med mål i sin andre strake (!) hjemmekamp.",Goal/Assist
2,På et hjørnespark langt på overtid kom avgjørelsen for Rosenborg da et hjørnespark havnet hos nysigneringen Jebali på bakerste stolpe.,Goal/Assist
3,Ti minutter før pause scoret Sam Johnson sitt første mål siden midten av mai da han dro seg fint inn fra venstre og curlet ballen i det lengste hjørnet via Hedenstad.,Goal/Assist
4,Vålerenga holdt 1-0-ledelsen bare frem til siste spilleminutt av omgangen. Jonathan Levis halvvolley på utsiden av 16-meteren gikk via Bård Finne og overlistet keeper Adam Larsen Kwarasey på hjemmelaget.,Goal/Assist
5,Andreomgang var bare drøyt fire minutter gammel da Rosenborg hadde snudd kampen. Hedenstads hjørnespark ble slått hardt på første stolpe. Enar Jääger var uheldig og headet ballen i eget mål.,Goal/Assist
6,"Det varte imidlertid ikke lenge, for i det 58. spilleminutt havnet en retur fra André Hansen i beina på Amin Nouri, som banket inn 2-2 for Vålerenga. Dermed har høyrebacken scoret i to strake hjemmekamper.",Goal/Assist
7,Nesten fem minutter på overtid kom avgjørelsen da Jebali snek seg inn på bakerste stolpe på hjørnespark og med en velplassert volley styrte inn 3-2.,Goal/Assist
8,Enar Jääger og Mohammed Abu måtte for øvrig ut med skade for VIF.,Injuries
9,Se målene i Sportsnyhetene øverst.,Ignore
10,Avgjørelsen falt da Ruud bøyde et frispark over muren og i venstre kryss sju minutter etter pause.,Goal/Assist
11,Sarpsborgs poengfangst i Eliteserien har stoppet helt. Espen Ruud scoret begge Odds mål i 2-1-seieren i Østfold søndag.,Goal/Assist
12,Se Besiktas mot Sarpsborg på TV 2 Sport 1 og Sumo torsdag fra kl. 18.15.,Ignore
13,Espen Ruuds frisparkfot hylles etter at han ble matchvinner mot Sarpsborg.,Player details
14,"I siste spilleminutt hadde Samúel Kari Fridjónsson en god mulighet på frispark, men Rosenborg-målvakt André Hansen fikk slått unna.",sjanse
15,Rosenborg er tilbake på toppen av Eliteserien etter at Brann lånte den i et drøyt døgn etter 3-1 over Haugesund.,Club details
16,Rosenborg leder to poeng foran Brann. Vålerenga er nummer seks med fem poeng opp til Haugesund på tredjeplass.,Club details
